Field,Trt,Date,Mean,Temp (°C),Rainfall (mm),Soil Moisture (%)
F1,T1,2021-01-01,0.69,34.0,146.4,43.9
F1,T1,2021-01-02,0.58,18.1,11.6,54.6
F1,T1,2021-01-03,0.8,29.2,4.1,58.8
F1,T1,2021-01-04,0.92,19.2,36.4,27.3
F1,T1,2021-01-05,0.65,25.5,86.4,31.6
F1,T1,2021-01-06,0.81,17.8,58.4,34.7
F1,T1,2021-01-07,0.73,30.7,39.9,40.6
F1,T1,2021-01-08,0.8,15.9,121.5,26.8
F1,T1,2021-01-09,0.53,34.0,193.1,52.3
F1,T1,2021-01-10,0.65,17.0,136.8,37.6
F1,T1,2021-01-11,0.56,24.9,6.9,56.4
F1,T1,2021-01-12,0.63,28.3,62.3,40.8
F1,T1,2021-01-13,0.77,18.7,193.9,51.0
F1,T1,2021-01-14,0.97,32.9,119.6,56.9
F1,T1,2021-01-15,0.54,18.9,9.0,33.0
F1,T1,2021-01-16,0.69,20.4,165.7,34.3
F1,T1,2021-01-17,0.64,25.9,28.2,52.1
F1,T1,2021-01-18,0.54,34.7,154.4,27.9
F1,T1,2021-01-19,0.5,31.3,141.4,49.2
F1,T1,2021-01-20,0.89,16.5,71.7,24.6
F1,T1,2021-01-21,0.93,27.5,66.2,22.5
F1,T1,2021-01-22,0.66,21.5,145.9,45.5
F1,T1,2021-01-23,0.94,24.4,23.9,48.5
F1,T1,2021-01-24,0.88,26.2,154.2,39.8
F1,T1,2021-01-25,0.76,23.6,5.1,24.3
F1,T1,2021-01-26,0.52,27.7,62.9,40.3
F1,T1,2021-01-27,0.95,20.0,82.1,50.2
F1,T1,2021-01-28,0.61,16.5,58.0,26.4
F1,T1,2021-01-29,0.96,31.2,126.7,54.9
F1,T1,2021-01-30,0.9,18.7,178.5,41.6
F1,T1,2021-01-31,0.9,32.9,63.6,24.4
F1,T1,2021-02-01,0.61,23.5,163.6,54.4
F1,T1,2021-02-02,0.5,25.2,83.5,28.9
F1,T1,2021-02-03,0.56,21.8,188.6,32.9
F1,T1,2021-02-04,0.76,29.1,72.7,58.9
F1,T1,2021-02-05,0.98,20.0,99.4,32.0
F1,T1,2021-02-06,0.64,15.7,121.9,40.1
F1,T1,2021-02-07,0.53,20.6,181.7,29.6
F1,T1,2021-02-08,0.57,24.8,197.1,29.7
F1,T1,2021-02-09,0.84,30.2,47.5,49.1
F1,T1,2021-02-10,0.68,27.6,126.7,41.4
F1,T1,2021-02-11,0.55,31.7,64.2,27.5
F1,T1,2021-02-12,0.52,26.8,135.5,20.7
F1,T1,2021-02-13,0.76,19.5,129.0,27.0
F1,T1,2021-02-14,0.85,22.7,187.3,25.5
F1,T1,2021-02-15,0.67,17.3,184.9,55.1
F1,T1,2021-02-16,0.63,28.2,163.4,42.2
F1,T1,2021-02-17,0.76,19.8,18.6,55.9
F1,T1,2021-02-18,0.95,27.7,67.8,34.0
F1,T1,2021-02-19,0.86,32.9,177.4,51.2
F1,T1,2021-02-20,0.82,16.7,32.3,55.9
F1,T1,2021-02-21,0.8,15.2,20.3,46.5
F1,T1,2021-02-22,0.5,18.2,109.7,47.7
F1,T1,2021-02-23,0.83,19.5,142.4,29.5
F1,T1,2021-02-24,0.66,29.9,129.9,54.0
F1,T1,2021-02-25,0.83,26.4,18.7,34.7
F1,T1,2021-02-26,0.63,19.9,194.6,35.7
F1,T1,2021-02-27,0.95,27.6,159.0,40.1
F1,T1,2021-02-28,0.79,24.9,39.0,48.9
F1,T1,2021-03-01,0.64,15.5,129.1,27.1
F1,T1,2021-03-02,0.97,34.1,183.0,34.8
F1,T1,2021-03-03,0.51,33.6,85.6,58.7
F1,T1,2021-03-04,0.98,32.1,58.9,35.4
F1,T1,2021-03-05,0.93,21.3,33.9,42.3
F1,T1,2021-03-06,0.97,28.9,114.0,23.9
F1,T1,2021-03-07,0.81,34.8,28.0,40.7
F1,T1,2021-03-08,0.94,29.8,139.4,48.1
F1,T1,2021-03-09,0.68,20.9,161.9,52.4
F1,T1,2021-03-10,0.93,33.3,102.3,40.1
F1,T1,2021-03-11,0.9,28.0,140.4,51.8
F1,T1,2021-03-12,0.95,21.8,75.1,23.8
F1,T1,2021-03-13,0.79,15.7,93.1,41.7
F1,T1,2021-03-14,0.64,26.8,6.1,21.5
F1,T1,2021-03-15,0.91,22.2,25.4,40.9
F1,T1,2021-03-16,0.88,19.3,124.6,23.4
F1,T1,2021-03-17,0.53,25.6,108.1,45.5
F1,T1,2021-03-18,0.86,34.5,103.3,32.9
F1,T1,2021-03-19,0.9,20.4,87.8,23.1
F1,T1,2021-03-20,0.51,34.3,167.2,47.8
F1,T1,2021-03-21,0.7,18.5,31.3,30.0
F1,T1,2021-03-22,0.77,29.3,132.0,31.2
F1,T1,2021-03-23,0.98,29.8,110.9,44.5
F1,T1,2021-03-24,0.71,20.0,71.2,50.3
F1,T1,2021-03-25,0.51,17.3,9.2,21.6
F1,T1,2021-03-26,0.93,29.1,94.8,23.9
